loan_yy;loan_mm;loan_dd;amount;duration;birth_yy;birth_mm;birth_dd;gender;district_id;inhabitants;cities;ratio_urban;avg_salary;unemploy_95;unemploy_96;dif_unemp;entrep;crimes_95;crimes_96;dif_crimes;response
97;7;11;369000;60;74;6;30;0;47;162580;6;728;9538;1.51;1.81;0.30;111;6079;5410;-669;1
98;7;12;331584;48;73;5;26;0;42;95907;7;591;8388;2.41;2.94;0.53;87;1658;1668;10;1
97;12;25;468060;60;47;10;19;0;46;112709;10;735;8369;1.79;2.31;0.52;117;2854;2618;-236;1
94;12;21;100980;60;65;7;31;1;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
95;5;1;187224;24;47;10;8;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;0
98;9;9;42816;12;37;6;1;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
97;10;11;230400;60;61;7;24;1;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
94;7;19;252060;60;65;8;3;0;60;110643;4;519;8441;3.45;4.48;1.03;115;1879;2252;373;0
98;3;13;84288;48;57;9;27;0;29;45714;6;556;8843;2.82;3.60;0.78;113;818;888;70;1
97;7;10;357840;48;41;5;19;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;0
97;4;28;196800;24;60;7;19;0;8;112065;8;694;11277;1.25;1.44;0.19;127;5179;4987;-192;0
96;10;24;262980;60;66;3;9;0;13;53921;2;413;8598;2.77;3.26;0.49;123;1597;1875;278;1
97;7;16;210384;48;56;3;22;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
96;8;22;91152;24;42;12;10;1;32;105058;10;810;9272;2.80;3.22;0.42;118;4340;4505;165;1
97;11;28;12540;12;40;2;12;0;27;67298;7;438;8561;0.65;1.29;0.64;110;1029;1127;98;1
97;4;1;102240;60;45;9;24;0;58;109164;4;636;8757;3.38;3.95;0.57;96;2212;2471;259;1
97;8;20;76944;12;56;9;13;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;2;12;156096;36;52;8;3;1;21;103347;7;670;9104;1.51;2.07;0.56;123;2299;2354;55;1
95;11;23;73056;48;70;12;18;1;39;119895;4;899;10446;7.34;9.40;2.06;90;4947;4743;-204;1
94;7;24;208128;48;51;8;6;1;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;0
96;4;11;215616;48;57;2;17;1;69;42821;3;484;8173;7;7.01;0.00;124;1358;1358;0;0
94;5;11;24312;12;55;11;19;0;16;93931;8;569;8427;1.12;1.54;0.42;107;1874;1913;39;1
95;1;8;48624;24;61;9;30;1;40;128118;8;853;9317;6.49;7.07;0.58;97;6949;6872;-77;1
95;2;17;538500;60;60;6;28;1;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
97;2;2;53076;12;48;5;21;1;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
96;7;28;187104;24;77;5;10;0;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
95;5;30;87216;48;54;3;16;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;2;24;178500;60;71;8;26;0;73;182027;7;564;8746;3.33;3.74;0.41;90;4355;4433;78;1
95;9;16;309552;48;35;1;29;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
98;5;21;22260;60;40;11;26;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
96;5;29;284280;60;58;9;15;0;37;114006;9;623;9065;4.46;5.39;0.93;123;4147;4166;19;1
95;5;24;189060;60;58;12;30;0;4;149893;6;674;9753;4.64;5.05;0.41;109;5244;5892;648;1
98;7;1;108720;60;66;10;2;0;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;1
98;4;11;188532;36;75;9;1;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
95;12;18;204000;60;44;5;6;1;45;77917;5;535;8390;2.28;2.89;0.61;132;2080;2122;42;1
94;10;28;98184;24;45;6;12;0;65;114200;4;437;8403;5.74;5.72;-0.02;105;2157;2718;561;1
98;9;24;253200;60;36;11;27;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
94;1;20;253200;60;50;3;13;0;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
98;4;16;50976;36;79;10;27;1;45;77917;5;535;8390;2.28;2.89;0.61;132;2080;2122;42;1
97;6;13;385104;48;56;12;18;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
94;11;12;192552;24;63;12;31;0;20;70646;4;584;8547;2.65;3.64;0.99;120;1563;1542;-21;0
94;2;7;149040;48;68;12;20;0;11;75637;7;365;9622;0.45;0.59;0.14;154;3475;3529;54;1
97;9;7;128544;24;51;11;29;0;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
97;2;28;35904;48;46;1;22;1;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
95;3;16;99696;48;71;6;25;0;65;114200;4;437;8403;5.74;5.72;-0.02;105;2157;2718;561;0
96;11;25;182640;48;42;4;19;0;62;145688;5;407;8544;1.29;1.86;0.57;109;2719;2906;187;1
97;4;1;148140;36;62;3;6;0;13;53921;2;413;8598;2.77;3.26;0.49;123;1597;1875;278;1
95;5;29;71064;36;46;10;17;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
97;7;1;74772;36;60;12;22;1;55;157042;9;339;8743;1.88;2.43;0.55;111;3659;3894;235;1
98;12;5;52512;12;44;12;15;1;55;157042;9;339;8743;1.88;2.43;0.55;111;3659;3894;235;1
98;10;11;185544;36;39;9;29;1;56;124605;8;460;8772;4.69;4.98;0.29;126;2854;3158;304;1
97;9;6;23520;12;41;11;11;1;53;107911;7;509;8240;2.53;3.56;1.03;99;1850;1903;53;1
97;9;15;389136;48;67;9;7;1;53;107911;7;509;8240;2.53;3.56;1.03;99;1850;1903;53;1
95;8;29;45336;24;57;4;29;1;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
98;9;2;125472;24;40;11;25;1;34;125236;5;877;9675;6.43;7.68;1.25;100;5323;5190;-133;1
98;1;17;125472;24;46;7;1;0;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
97;6;3;100080;48;65;8;18;0;65;114200;4;437;8403;5.74;5.72;-0.02;105;2157;2718;561;1
98;1;19;123300;36;45;3;17;0;41;118650;3;856;9832;3.32;4.48;1.16;114;6445;5471;-974;1
98;10;7;165780;60;51;7;24;1;62;145688;5;407;8544;1.29;1.86;0.57;109;2719;2906;187;1
94;11;19;164052;36;75;9;12;0;31;51313;4;592;8930;3.52;4.20;0.68;108;1328;1452;124;0
97;7;21;191088;48;62;9;5;1;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
97;11;27;194256;24;68;4;15;1;69;42821;3;484;8173;7;7.01;0.00;124;1358;1358;0;1
96;8;24;388512;48;69;3;13;0;69;42821;3;484;8173;7;7.01;0.00;124;1358;1358;0;0
94;2;6;78936;12;57;1;22;0;31;51313;4;592;8930;3.52;4.20;0.68;108;1328;1452;124;1
98;1;26;64224;24;37;12;13;1;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;1
98;10;29;189792;48;40;6;7;1;47;162580;6;728;9538;1.51;1.81;0.30;111;6079;5410;-669;1
96;7;6;141948;36;50;9;26;0;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
98;8;20;172272;24;43;3;12;1;71;161227;10;697;8678;5.93;5.57;-0.36;102;4980;4595;-385;1
95;4;28;248148;36;40;7;24;0;28;72541;8;369;8594;1.62;2.01;0.39;112;1580;1525;-55;1
96;6;15;30060;60;51;9;6;1;28;72541;8;369;8594;1.62;2.01;0.39;112;1580;1525;-55;1
96;3;13;202788;36;53;7;20;0;31;51313;4;592;8930;3.52;4.20;0.68;108;1328;1452;124;1
98;5;27;43200;24;49;5;16;0;36;159617;9;852;9198;3.33;4.28;0.95;131;5796;6132;336;1
93;7;5;96396;12;47;7;22;0;30;94812;10;818;9650;3.38;3.67;0.29;100;2985;2804;-181;0
93;7;11;165960;36;68;7;22;1;46;112709;10;735;8369;1.79;2.31;0.52;117;2854;2618;-236;1
98;9;30;385584;48;74;10;22;1;28;72541;8;369;8594;1.62;2.01;0.39;112;1580;1525;-55;1
94;6;23;239460;60;42;9;13;0;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
98;1;11;143676;36;52;12;12;1;55;157042;9;339;8743;1.88;2.43;0.55;111;3659;3894;235;1
93;8;3;105804;36;40;4;20;0;14;177686;9;748;10045;1.42;1.71;0.29;135;6604;6295;-309;1
96;10;16;396120;60;50;1;2;0;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
98;1;29;37944;36;66;4;10;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;9;10;209040;24;79;3;25;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;7;31;162468;36;57;8;23;0;32;105058;10;810;9272;2.80;3.22;0.42;118;4340;4505;165;1
97;8;30;57360;12;57;9;19;1;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;0
97;10;8;44952;24;70;3;25;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;12;6;55632;24;48;12;18;1;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
96;4;21;249312;48;55;5;21;1;26;170449;1;1000;10787;2.64;3.09;0.45;131;6041;6261;220;1
94;12;4;205200;36;63;1;25;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
95;4;15;68400;12;76;6;9;0;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;0
98;7;14;290820;60;37;10;28;1;5;95616;6;514;9307;3.85;4.43;0.58;118;2616;3040;424;1
97;1;21;38520;12;39;12;6;1;42;95907;7;591;8388;2.41;2.94;0.53;87;1658;1668;10;1
98;1;25;176328;36;43;6;14;1;53;107911;7;509;8240;2.53;3.56;1.03;99;1850;1903;53;1
97;4;22;293880;60;75;1;28;0;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;0
98;7;19;271260;60;71;1;6;1;37;114006;9;623;9065;4.46;5.39;0.93;123;4147;4166;19;1
96;10;29;86184;12;40;12;4;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
97;8;26;83628;36;77;9;23;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
98;10;5;44640;24;57;2;11;1;59;108871;6;621;8444;3.24;3.47;0.23;106;2595;2305;-290;1
97;9;12;214596;36;37;9;8;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
96;10;3;101520;12;76;10;12;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;8;4;92400;12;74;6;20;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
97;3;17;22932;36;53;11;19;0;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
98;3;7;23328;12;64;10;19;0;42;95907;7;591;8388;2.41;2.94;0.53;87;1658;1668;10;1
96;9;9;71460;36;80;8;31;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;11;28;61560;12;43;1;4;1;31;51313;4;592;8930;3.52;4.20;0.68;108;1328;1452;124;1
97;8;22;78600;24;56;5;9;1;51;121947;11;705;8541;2.51;2.97;0.46;131;3496;3839;343;1
94;10;30;170256;24;65;7;16;0;16;93931;8;569;8427;1.12;1.54;0.42;107;1874;1913;39;1
94;7;30;299088;36;66;12;10;0;67;106054;6;631;8110;5.77;6.55;0.78;109;3244;3079;-165;0
97;11;4;53472;12;40;3;26;1;9;81344;6;553;8899;3.39;3.97;0.58;149;2987;2487;-500;1
95;11;18;182040;60;51;3;24;0;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
95;12;12;92976;24;70;10;7;0;31;51313;4;592;8930;3.52;4.20;0.68;108;1328;1452;124;1
95;3;29;185952;48;45;2;22;1;34;125236;5;877;9675;6.43;7.68;1.25;100;5323;5190;-133;1
96;9;26;139464;36;58;8;12;1;73;182027;7;564;8746;3.33;3.74;0.41;90;4355;4433;78;0
95;1;16;347952;48;64;10;30;0;29;45714;6;556;8843;2.82;3.60;0.78;113;818;888;70;1
97;2;5;415800;60;49;9;5;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;2;24;72504;24;50;6;26;0;24;122603;8;800;8991;1.39;2.01;0.62;128;5198;5273;75;1
98;12;2;230220;36;50;1;26;1;13;53921;2;413;8598;2.77;3.26;0.49;123;1597;1875;278;1
96;7;18;20196;36;71;2;25;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;6;1;314688;48;74;1;26;1;2;88884;5;467;8507;1.67;1.85;0.18;132;2159;2674;515;1
96;6;29;46320;24;79;2;14;1;33;133777;11;847;8705;5.75;7.61;1.86;116;4650;4859;209;1
97;8;4;48312;24;58;10;19;1;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
97;11;12;541200;60;46;12;18;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;0
95;11;4;99336;24;80;7;9;0;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
94;12;11;199680;60;49;5;23;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
97;5;11;159744;48;73;4;10;0;18;70699;4;653;8968;2.83;3.35;0.52;131;1740;1910;170;1
96;4;29;49440;60;66;10;6;0;70;285387;7;899;10177;6.63;7.75;1.12;81;9878;10108;230;1
95;4;1;156672;36;56;4;25;0;28;72541;8;369;8594;1.62;2.01;0.39;112;1580;1525;-55;1
98;10;6;17952;12;54;2;22;0;33;133777;11;847;8705;5.75;7.61;1.86;116;4650;4859;209;1
95;1;30;95808;12;40;9;7;1;43;161854;6;763;9425;1.72;2.50;0.78;125;4085;3891;-194;1
97;12;26;293160;60;78;1;17;0;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
96;4;15;200976;48;55;2;20;1;65;114200;4;437;8403;5.74;5.72;-0.02;105;2157;2718;561;1
94;1;10;24516;12;58;10;7;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;1;12;165120;60;50;3;18;0;51;121947;11;705;8541;2.51;2.97;0.46;131;3496;3839;343;1
97;6;13;466608;48;46;3;5;0;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;1
98;2;13;428784;48;36;4;14;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;6;13;360000;48;73;3;7;0;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
96;8;2;89340;60;71;11;12;0;60;110643;4;519;8441;3.45;4.48;1.03;115;1879;2252;373;1
98;5;21;136344;24;64;5;26;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
94;3;8;91632;12;62;12;28;0;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
98;8;30;231168;48;78;5;11;0;73;182027;7;564;8746;3.33;3.74;0.41;90;4355;4433;78;1
93;12;8;93888;36;50;10;20;0;63;86513;5;505;8288;3.79;4.52;0.73;110;1562;1460;-102;1
98;4;27;93888;36;36;7;2;1;2;88884;5;467;8507;1.67;1.85;0.18;132;2159;2674;515;1
98;11;8;69624;36;47;1;23;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
98;6;15;156420;60;57;3;8;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
97;9;30;66432;24;71;4;13;0;26;170449;1;1000;10787;2.64;3.09;0.45;131;6041;6261;220;1
97;5;4;335280;48;52;12;26;0;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
94;7;5;111384;24;67;2;10;1;11;75637;7;365;9622;0.45;0.59;0.14;154;3475;3529;54;1
94;7;16;50460;60;47;10;17;0;11;75637;7;365;9622;0.45;0.59;0.14;154;3475;3529;54;1
97;5;19;268320;60;52;9;29;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;8;29;437460;60;53;6;24;0;68;228848;6;572;9893;4.09;4.72;0.63;96;5623;5887;264;1
96;2;29;380160;60;49;12;15;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
94;5;17;272520;60;39;9;2;1;10;92084;5;467;10124;0.56;0.54;-0.02;141;3810;4316;506;1
98;1;20;504000;60;71;2;28;1;3;75232;5;417;8980;1.95;2.21;0.26;111;2824;2813;-11;1
94;12;21;31248;12;39;3;15;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;4;17;41256;12;38;8;3;1;19;51428;4;527;8402;3.13;3.98;0.85;120;999;1099;100;1
97;12;6;24792;24;58;6;6;1;63;86513;5;505;8288;3.79;4.52;0.73;110;1562;1460;-102;1
98;7;8;88608;12;47;12;9;1;66;125832;5;483;8512;3.51;4.12;0.61;102;2247;2103;-144;1
96;9;14;48744;36;64;4;14;0;77;148545;4;535;8909;4.01;5.56;1.55;113;3460;3590;130;1
98;6;5;390000;48;47;12;13;1;42;95907;7;591;8388;2.41;2.94;0.53;87;1658;1668;10;1
96;12;4;155616;48;59;10;25;0;10;92084;5;467;10124;0.56;0.54;-0.02;141;3810;4316;506;1
96;4;18;277884;36;80;9;17;0;44;105606;7;530;8254;2.79;3.76;0.97;97;2166;2325;159;0
94;9;2;82896;12;72;2;6;1;49;75685;9;608;8208;1.89;2.26;0.37;155;1660;2123;463;1
95;3;21;15420;12;65;6;4;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;8;28;253512;36;45;8;7;0;59;108871;6;621;8444;3.24;3.47;0.23;106;2595;2305;-290;0
96;2;24;123216;48;77;8;12;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
96;11;15;321180;60;36;9;7;1;14;177686;9;748;10045;1.42;1.71;0.29;135;6604;6295;-309;1
98;9;21;253560;60;51;6;20;0;39;119895;4;899;10446;7.34;9.40;2.06;90;4947;4743;-204;1
98;5;15;130896;24;54;6;15;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
98;6;16;30012;12;53;11;26;1;48;78955;9;590;9060;1.78;2.44;0.66;124;1655;1717;62;1
95;1;3;177744;48;72;3;13;1;59;108871;6;621;8444;3.24;3.47;0.23;106;2595;2305;-290;0
96;12;15;222180;60;39;3;20;1;29;45714;6;556;8843;2.82;3.60;0.78;113;818;888;70;0
97;5;1;39024;12;36;12;23;1;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
96;10;4;77184;36;54;12;9;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;8;27;68124;12;57;11;1;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
97;9;21;94512;12;52;11;28;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;0
98;11;27;276084;36;64;3;13;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;12;8;19248;12;64;10;16;1;3;75232;5;417;8980;1.95;2.21;0.26;111;2824;2813;-11;1
97;2;9;146064;24;53;6;1;0;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
94;7;5;4980;12;52;7;26;0;63;86513;5;505;8288;3.79;4.52;0.73;110;1562;1460;-102;1
98;3;11;40632;12;45;5;3;0;12;107870;6;580;8754;3.83;4.31;0.48;137;3804;3868;64;1
98;6;27;71820;36;64;2;9;1;63;86513;5;505;8288;3.79;4.52;0.73;110;1562;1460;-102;1
97;6;10;207264;48;62;10;15;1;42;95907;7;591;8388;2.41;2.94;0.53;87;1658;1668;10;1
97;10;20;68664;24;80;2;19;0;58;109164;4;636;8757;3.38;3.95;0.57;96;2212;2471;259;1
97;3;7;67464;12;35;12;25;1;34;125236;5;877;9675;6.43;7.68;1.25;100;5323;5190;-133;1
98;5;29;140688;48;41;6;23;1;16;93931;8;569;8427;1.12;1.54;0.42;107;1874;1913;39;1
95;8;1;44088;24;51;6;25;0;9;81344;6;553;8899;3.39;3.97;0.58;149;2987;2487;-500;1
98;9;22;174840;60;51;5;7;0;58;109164;4;636;8757;3.38;3.95;0.57;96;2212;2471;259;1
98;5;24;174960;24;77;9;15;0;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;1
96;5;24;161496;36;71;7;24;1;72;226122;4;626;8994;3.80;4.79;0.99;110;9672;9208;-464;1
95;5;30;158760;60;78;1;31;1;48;78955;9;590;9060;1.78;2.44;0.66;124;1655;1717;62;1
97;9;1;14028;12;45;12;27;0;53;107911;7;509;8240;2.53;3.56;1.03;99;1850;1903;53;1
97;9;20;271584;48;76;4;24;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
94;9;10;23628;12;54;3;9;1;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
95;2;5;316140;60;68;2;22;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;0
96;7;23;444864;48;64;3;29;1;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
97;11;5;460980;60;64;12;9;0;3;75232;5;417;8980;1.95;2.21;0.26;111;2824;2813;-11;0
95;1;2;76380;12;57;6;28;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
95;4;2;18564;12;63;2;4;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
96;11;3;68544;24;76;9;16;1;37;114006;9;623;9065;4.46;5.39;0.93;123;4147;4166;19;1
96;2;8;63252;12;49;6;24;0;7;94725;6;634;9920;2.26;2.87;0.61;130;4289;4846;557;1
94;9;28;23052;12;40;11;1;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
97;5;2;307200;60;62;2;26;1;53;107911;7;509;8240;2.53;3.56;1.03;99;1850;1903;53;0
98;9;18;74916;36;42;9;16;1;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
98;2;10;153936;24;49;8;28;1;44;105606;7;530;8254;2.79;3.76;0.97;97;2166;2325;159;1
98;3;8;334620;60;61;5;9;0;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
98;3;16;133848;24;60;6;6;0;37;114006;9;623;9065;4.46;5.39;0.93;123;4147;4166;19;1
98;7;12;96984;36;72;1;28;1;8;112065;8;694;11277;1.25;1.44;0.19;127;5179;4987;-192;1
97;10;14;107352;36;39;12;28;0;27;67298;7;438;8561;0.65;1.29;0.64;110;1029;1127;98;1
98;1;4;63576;12;60;4;3;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;3;29;84600;36;38;8;16;1;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;0
97;3;20;84288;48;77;11;1;0;57;161954;8;480;8720;3.73;4.50;0.77;116;3729;3651;-78;1
97;12;28;106128;36;78;12;21;1;36;159617;9;852;9198;3.33;4.28;0.95;131;5796;6132;336;1
95;4;5;158976;48;39;1;9;1;52;139012;10;619;8363;2.52;3.49;0.97;108;2564;2799;235;1
95;11;28;137904;24;68;5;6;1;11;75637;7;365;9622;0.45;0.59;0.14;154;3475;3529;54;0
97;7;31;41856;48;60;11;9;0;54;387570;1;1000;9897;1.60;1.96;0.36;140;18721;18696;-25;1
98;6;3;151200;36;46;10;10;1;6;77963;4;515;8546;2.95;4.02;1.07;126;2640;3120;480;1
97;8;15;100800;24;38;5;26;1;50;102609;6;520;8187;4.83;5.45;0.62;94;2123;2134;11;0
98;6;21;212976;36;73;6;27;0;1;1204953;1;1000;12541;0.29;0.43;0.14;167;85677;99107;13430;1
97;8;28;405780;60;51;1;19;1;62;145688;5;407;8544;1.29;1.86;0.57;109;2719;2906;187;1
94;8;27;79632;24;59;8;10;0;66;125832;5;483;8512;3.51;4.12;0.61;102;2247;2103;-144;1
94;6;29;244560;60;67;7;19;0;58;109164;4;636;8757;3.38;3.95;0.57;96;2212;2471;259;1
98;11;4;41988;12;73;3;9;1;77;148545;4;535;8909;4.01;5.56;1.55;113;3460;3590;130;1
97;5;22;164196;36;56;9;23;0;64;197099;10;747;9624;1.60;2.31;0.71;145;4484;4265;-219;1
97;8;9;51360;12;45;9;8;0;61;117897;6;538;8814;4.76;5.74;0.98;107;2112;2059;-53;0
94;12;8;51408;24;49;7;24;1;29;45714;6;556;8843;2.82;3.60;0.78;113;818;888;70;1
97;12;9;100128;24;48;4;6;0;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
98;10;30;327660;60;42;3;18;0;38;85852;4;598;8965;7.08;8.23;1.15;104;2653;2822;169;1
97;3;29;90156;12;46;10;7;0;69;42821;3;484;8173;7;7.01;0.00;124;1358;1358;0;1
95;2;8;221280;48;68;3;28;1;74;323870;1;1000;10673;4.75;5.44;0.69;100;18782;18347;-435;1
95;2;23;97224;24;51;4;7;0;17;74062;7;614;8114;2.38;2.62;0.24;119;1003;1181;178;1
